2019/12/21 17:01:29 - train_logger - INFO - 74 - train - This training task is set as following:                  num_epochs:30,                  learning_rate:0.0001                  weight_decay:0.0                  =======================================
2019/12/21 17:02:32 - train_logger - INFO - 129 - train - Epoch [1/30], Step 200, train Loss: 21625.2129
2019/12/21 17:02:32 - train_logger - INFO - 129 - train - Epoch [1/30], Step 201, train Loss: 16051.7754
2019/12/21 17:02:32 - train_logger - INFO - 129 - train - Epoch [1/30], Step 202, train Loss: 4222.9365
2019/12/21 17:02:32 - train_logger - INFO - 129 - train - Epoch [1/30], Step 203, train Loss: 21253.4551
2019/12/21 17:02:33 - train_logger - INFO - 129 - train - Epoch [1/30], Step 204, train Loss: 16126.8643
2019/12/21 17:02:33 - train_logger - INFO - 129 - train - Epoch [1/30], Step 205, train Loss: 6983.0425
2019/12/21 17:02:33 - train_logger - INFO - 129 - train - Epoch [1/30], Step 206, train Loss: 41035.3789
2019/12/21 17:02:33 - train_logger - INFO - 129 - train - Epoch [1/30], Step 207, train Loss: 10026.2197
2019/12/21 17:02:34 - train_logger - INFO - 129 - train - Epoch [1/30], Step 208, train Loss: 9990.5371
2019/12/21 17:02:34 - train_logger - INFO - 129 - train - Epoch [1/30], Step 209, train Loss: 14570.8477
2019/12/21 17:02:35 - train_logger - INFO - 129 - train - Epoch [1/30], Step 210, train Loss: 5018.9146
2019/12/21 17:02:35 - train_logger - INFO - 129 - train - Epoch [1/30], Step 211, train Loss: 7777.9546
2019/12/21 17:02:35 - train_logger - INFO - 129 - train - Epoch [1/30], Step 212, train Loss: 5891.8550
2019/12/21 17:02:36 - train_logger - INFO - 129 - train - Epoch [1/30], Step 213, train Loss: 11617.6982
2019/12/21 17:02:36 - train_logger - INFO - 129 - train - Epoch [1/30], Step 214, train Loss: 23936.0918
2019/12/21 17:02:36 - train_logger - INFO - 129 - train - Epoch [1/30], Step 215, train Loss: 21583.9043
2019/12/21 17:02:36 - train_logger - INFO - 129 - train - Epoch [1/30], Step 216, train Loss: 5486.8545
2019/12/21 17:02:37 - train_logger - INFO - 129 - train - Epoch [1/30], Step 217, train Loss: 12682.3232
2019/12/21 17:02:37 - train_logger - INFO - 129 - train - Epoch [1/30], Step 218, train Loss: 3952.8906
2019/12/21 17:02:37 - train_logger - INFO - 129 - train - Epoch [1/30], Step 219, train Loss: 19914.4141
2019/12/21 17:02:38 - train_logger - INFO - 129 - train - Epoch [1/30], Step 220, train Loss: 7479.1729
2019/12/21 17:02:38 - train_logger - INFO - 129 - train - Epoch [1/30], Step 221, train Loss: 8693.6973
2019/12/21 17:02:38 - train_logger - INFO - 129 - train - Epoch [1/30], Step 222, train Loss: 20708.2988
2019/12/21 17:02:38 - train_logger - INFO - 129 - train - Epoch [1/30], Step 223, train Loss: 23205.9375
2019/12/21 17:02:39 - train_logger - INFO - 129 - train - Epoch [1/30], Step 224, train Loss: 8965.8828
2019/12/21 17:02:39 - train_logger - INFO - 129 - train - Epoch [1/30], Step 225, train Loss: 23069.8926
2019/12/21 17:02:40 - train_logger - INFO - 129 - train - Epoch [1/30], Step 226, train Loss: 8478.4678
2019/12/21 17:02:40 - train_logger - INFO - 129 - train - Epoch [1/30], Step 227, train Loss: 18409.2812
2019/12/21 17:02:40 - train_logger - INFO - 129 - train - Epoch [1/30], Step 228, train Loss: 30118.1582
2019/12/21 17:02:40 - train_logger - INFO - 129 - train - Epoch [1/30], Step 229, train Loss: 17026.7793
2019/12/21 17:02:41 - train_logger - INFO - 129 - train - Epoch [1/30], Step 230, train Loss: 3983.0730
2019/12/21 17:02:41 - train_logger - INFO - 129 - train - Epoch [1/30], Step 231, train Loss: 15761.6230
2019/12/21 17:02:41 - train_logger - INFO - 129 - train - Epoch [1/30], Step 232, train Loss: 13427.8643
2019/12/21 17:02:42 - train_logger - INFO - 129 - train - Epoch [1/30], Step 233, train Loss: 20066.5625
2019/12/21 17:02:42 - train_logger - INFO - 129 - train - Epoch [1/30], Step 234, train Loss: 21716.3887
2019/12/21 17:02:42 - train_logger - INFO - 129 - train - Epoch [1/30], Step 235, train Loss: 15418.1768
2019/12/21 17:02:42 - train_logger - INFO - 129 - train - Epoch [1/30], Step 236, train Loss: 12105.9814
2019/12/21 17:02:43 - train_logger - INFO - 129 - train - Epoch [1/30], Step 237, train Loss: 5177.3945
2019/12/21 17:02:43 - train_logger - INFO - 129 - train - Epoch [1/30], Step 238, train Loss: 14687.8359
2019/12/21 17:02:44 - train_logger - INFO - 129 - train - Epoch [1/30], Step 239, train Loss: 7957.4409
2019/12/21 17:02:44 - train_logger - INFO - 129 - train - Epoch [1/30], Step 240, train Loss: 3705.6172
2019/12/21 17:02:44 - train_logger - INFO - 129 - train - Epoch [1/30], Step 241, train Loss: 16738.1914
2019/12/21 17:02:44 - train_logger - INFO - 129 - train - Epoch [1/30], Step 242, train Loss: 5115.7031
2019/12/21 17:02:45 - train_logger - INFO - 129 - train - Epoch [1/30], Step 243, train Loss: 25436.1641
2019/12/21 17:02:45 - train_logger - INFO - 129 - train - Epoch [1/30], Step 244, train Loss: 5078.2959
2019/12/21 17:02:46 - train_logger - INFO - 129 - train - Epoch [1/30], Step 245, train Loss: 12640.5693
2019/12/21 17:02:46 - train_logger - INFO - 129 - train - Epoch [1/30], Step 246, train Loss: 9601.8496
2019/12/21 17:02:46 - train_logger - INFO - 129 - train - Epoch [1/30], Step 247, train Loss: 14623.8340
